Week,Instance_name,Machines,Jobs,Workers,DSL,SLB,LB,1st_solution,Iterations,2nd_step,Total_sol,Energy_cons,Gap,Time,J_geq_49.5
1,1-Machines2-Work1-DSTL3000-SLB30,2,36,1,3000,30,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.227897644,0
1,1-Machines2-Work1-DSTL4500-SLB30,2,36,1,4500,30,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.242282152,0
1,1-Machines2-Work1-DSTL6000-SLB30,2,36,1,6000,30,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.25715661,0
1,1-Machines2-Work3-DSTL3000-SLB30,2,36,3,3000,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.26341629,0
1,1-Machines2-Work3-DSTL4500-SLB30,2,36,3,4500,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.25454855,0
1,1-Machines2-Work3-DSTL6000-SLB30,2,36,3,6000,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.258896589,0
1,1-Machines2-Work5-DSTL3000-SLB30,2,36,5,3000,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.314623117,0
1,1-Machines2-Work5-DSTL4500-SLB30,2,36,5,4500,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.289688349,0
1,1-Machines2-Work5-DSTL6000-SLB30,2,36,5,6000,30,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.287451744,0
1,1-Machines2-Work1-DSTL3000-SLB50,2,36,1,3000,50,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.224822521,0
1,1-Machines2-Work1-DSTL4500-SLB50,2,36,1,4500,50,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.228735685,0
1,1-Machines2-Work1-DSTL6000-SLB50,2,36,1,6000,50,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.252039194,0
1,1-Machines2-Work3-DSTL3000-SLB50,2,36,3,3000,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.264943123,0
1,1-Machines2-Work3-DSTL4500-SLB50,2,36,3,4500,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.271340847,0
1,1-Machines2-Work3-DSTL6000-SLB50,2,36,3,6000,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.262624264,0
1,1-Machines2-Work5-DSTL3000-SLB50,2,36,5,3000,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.303973675,0
1,1-Machines2-Work5-DSTL4500-SLB50,2,36,5,4500,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.316758871,0
1,1-Machines2-Work5-DSTL6000-SLB50,2,36,5,6000,50,60743.73743,60787.33021,1,64267.33,64267.33,14923.43375,5.800750366,0.299404383,0
1,1-Machines2-Work1-DSTL3000-SLB70,2,36,1,3000,70,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.233375311,0
1,1-Machines2-Work1-DSTL4500-SLB70,2,36,1,4500,70,60743.73743,60787.33021,1,64267.33,66103.169,14923.43375,8.823019126,0.230847836,0
